year,city_states,lat,lon,tribute_val,Col,Comment,Pleiades
430,Styra,38.1459789,24.2620391,600,2,,https://pleiades.stoa.org/places/541117
430,Kalchedon,40.983393,29.025789,3510,3,,https://pleiades.stoa.org/places/520988
430,Kios,40.432469,29.15639,100,3,,https://pleiades.stoa.org/places/511385
430,Prokonnesos,40.591686,27.55568,1800,3,,https://pleiades.stoa.org/places/511378
430,Kyzikos,40.3855645,27.883191,5150,3,,http://pleiades.stoa.org/places/511218
430,Artake,40.402952,27.796268,200,3,,https://pleiades.stoa.org/places/511158
430,Sigeion,39.9835305,26.180869,100,3,,http://pleiades.stoa.org/places/550877
430,Tenedos,39.816667,26.05,1728,3,,https://pleiades.stoa.org/places/550912
430,Lampsakos,40.346685,26.699162,6270,3,,https://pleiades.stoa.org/places/501570
430,Brylleion,40.37557275,28.88274275,300,3,,https://pleiades.stoa.org/places/511194
430,Elaious,40.0997,26.3967,108,3,,
430,Lamponeia,39.538105,26.421229,140,3,,https://pleiades.stoa.org/places/550678
430,Abydos,40.1951155,26.409131,3326,3,,http://pleiades.stoa.org/places/501325
430,Byzantion,41.005902,28.9738815,13074,3,,http://pleiades.stoa.org/places/520985
430,Selymbria,41.078496,28.247677,5400,3,,http://pleiades.stoa.org/places/511414
430,Perinthos,40.971013,27.952973,6000,3,,http://pleiades.stoa.org/places/511357
430,Daunionteiche,41.053506,28.038408,1600,3,,https://pleiades.stoa.org/places/511227
430,Didymateiche,40.286031,27.274404,100,3,,https://pleiades.stoa.org/places/511235
430,Daskyleion,40.13238909,28.05077673,50,3,,http://pleiades.stoa.org/places/511226
430,Parion,40.42369835,27.07026171,210,3,,http://pleiades.stoa.org/places/511354
430,Palaiperkote,40.23637,26.686456,100,3,,https://pleiades.stoa.org/places/501547
430,Perkote,40.273913,26.588806,50,3,,https://pleiades.stoa.org/places/501556
430,Azeia,40.0842,26.4198,40,3,"The founder is possibily Azeus, grandfather of the Minyan leaders at Troy. Locate it between Dardanos and Abydos. Certainly in Troad. I locate it to modern day Kalabaklı, Turkey.",
430,Paisos,40.400225,26.787097,100,3,,https://pleiades.stoa.org/places/501544
430,Harpagion,40.334274,27.391984,30,3,,https://pleiades.stoa.org/places/511264
430,Madytos,40.1841454,26.3559,8,3,,https://pleiades.stoa.org/places/501503
430,Dardanos,40.079727,26.37442,408,3,,https://pleiades.stoa.org/places/501393
